date,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-res_load,Controller1-0.time-based_0-dump,EV1-0.time-based_0-soc,CSV_EV_presence-0.time-based_0-ev1
2012-01-01,0,0.16225469005566162,-0.16225469005566162,0,0.0
2012-01-01 00:15:00,0,0.19149853518322002,-0.19149853518322002,0,0.0
2012-01-01 00:30:00,0,0.12588734138684285,-0.12588734138684285,0,0.0
2012-01-01 00:45:00,0,0.13960910312615507,-0.13960910312615507,0,0.0
2012-01-01 01:00:00,0,0.08493474886330912,-0.08493474886330912,0,0.0
2012-01-01 01:15:00,0.01966160672128578,-0.01966160672128578,-0.0,0,0.0
2012-01-01 01:30:00,0.04838916618219424,-0.04838916618219424,-0.0,0,0.0
2012-01-01 01:45:00,0.02673169671051248,-0.02673169671051248,-0.0,0,0.0
2012-01-01 02:00:00,0.06638319080650734,-0.06638319080650734,-0.0,0,0.0
2012-01-01 02:15:00,0.08807186377001755,-0.08807186377001755,-0.0,0,0.0
2012-01-01 02:30:00,0.09143872636658282,-0.09143872636658282,-0.0,0,0.0
2012-01-01 02:45:00,0.10774746989479125,-0.10774746989479125,-0.0,0,0.0
2012-01-01 03:00:00,0.10247967879403361,-0.10247967879403361,-0.0,0,0.0
2012-01-01 03:15:00,0.15095911221544103,-0.15095911221544103,-0.0,0,0.0
2012-01-01 03:30:00,0.1506982451843276,-0.1506982451843276,-0.0,0,0.0
2012-01-01 03:45:00,0.25479154908519425,-0.25479154908519425,-0.0,0,0.0
2012-01-01 04:00:00,0.156376175058967,-0.156376175058967,-0.0,0,0.0
2012-01-01 04:15:00,0.1703792074381196,-0.1703792074381196,-0.0,0,0.0
2012-01-01 04:30:00,0.14417089962338275,-0.14417089962338275,-0.0,0,0.0
2012-01-01 04:45:00,0.22678680475410345,-0.22678680475410345,-0.0,0,0.0
2012-01-01 05:00:00,0.17088470900265518,-0.17088470900265518,-0.0,0,0.0
2012-01-01 05:15:00,0.14896739698594574,-0.14896739698594574,-0.0,0,0.0
2012-01-01 05:30:00,0.23542929947933094,-0.23542929947933094,-0.0,0,0.0
2012-01-01 05:45:00,0.35244202058348395,-0.35244202058348395,-0.0,0,0.0
2012-01-01 06:00:00,0.4352936118145675,-0.4352936118145675,-0.0,0,0.0
2012-01-01 06:15:00,0.5259154555285424,-0.5259154555285424,-0.0,0,0.0
2012-01-01 06:30:00,0.5525905402617164,-0.5525905402617164,-0.0,0,0.0
2012-01-01 06:45:00,0.4872669780514134,-0.4872669780514134,-0.0,0,0.0
2012-01-01 07:00:00,0.5162708902404959,-0.5162708902404959,-0.0,0,0.0
2012-01-01 07:15:00,0.4606716634984783,-0.4606716634984783,-0.0,0,0.0
2012-01-01 07:30:00,0.35394106970712125,-0.35394106970712125,-0.0,0,0.0
2012-01-01 07:45:00,0.3246335128476179,-0.3246335128476179,-0.0,0,0.0
2012-01-01 08:00:00,-0.114624,10.73808818739321,-10.62346418739321,4.583333333333333,1.0
2012-01-01 08:15:00,-0.11208000000000001,11.022490516338868,-10.910410516338867,9.166666666666666,1.0
2012-01-01 08:30:00,-0.10959200000000002,11.039857036546753,-10.930265036546754,13.75,1.0
2012-01-01 08:45:00,-0.10715999999999999,11.027981453462615,-10.920821453462615,18.333333333333332,1.0
2012-01-01 09:00:00,-0.10477600000000001,10.911443099382105,-10.806667099382105,22.916666666666664,1.0
2012-01-01 09:15:00,-0.10244800000000001,10.956358906529127,-10.853910906529126,27.499999999999996,1.0
2012-01-01 09:30:00,-0.10016800000000002,10.922828255902788,-10.822660255902788,32.08333333333333,1.0
2012-01-01 09:45:00,-0.09794399999999999,10.854694941518275,-10.756750941518275,36.666666666666664,1.0
2012-01-01 10:00:00,-0.095768,10.876691199014607,-10.780923199014607,41.25,1.0
2012-01-01 10:15:00,-0.09364,10.838762854237062,-10.745122854237062,45.833333333333336,1.0
2012-01-01 10:30:00,-0.09156,10.899808361889407,-10.808248361889408,50.41666666666667,1.0
2012-01-01 10:45:00,-0.089528,10.807525963183844,-10.717997963183844,55.00000000000001,1.0
2012-01-01 11:00:00,-0.087536,10.591003947532357,-10.503467947532357,59.58333333333334,1.0
2012-01-01 11:15:00,-0.08559200000000002,10.759560780556146,-10.673968780556146,64.16666666666667,1.0
2012-01-01 11:30:00,-0.08368799999999998,11.25138946461752,-11.167701464617519,68.75,1.0
2012-01-01 11:45:00,-0.081832,11.125334297209854,-11.043502297209853,73.33333333333333,1.0
2012-01-01 12:00:00,-0.08001599999999999,10.859912312841034,-10.779896312841034,77.91666666666666,1.0
2012-01-01 12:15:00,-0.07824000000000002,10.781588261447455,-10.703348261447456,82.49999999999999,1.0
2012-01-01 12:30:00,-0.076504,10.730493230937435,-10.653989230937436,87.08333333333331,1.0
2012-01-01 12:45:00,-0.07480000000000002,10.962293508996543,-10.887493508996544,91.66666666666664,1.0
2012-01-01 13:00:00,-0.073136,11.06063669602137,-10.98750069602137,96.24999999999997,1.0
2012-01-01 13:15:00,-0.071512,8.83373299568169,-8.76222099568169,100,1.0
2012-01-01 13:30:00,-0.06991999999999998,0.21735155316307508,-0.1474315531630751,100,1.0
2012-01-01 13:45:00,0.14129206455106244,-0.14129206455106244,-0.0,100,1.0
2012-01-01 14:00:00,0.1978474215322097,-0.1978474215322097,-0.0,100,1.0
2012-01-01 14:15:00,0.17119522540818857,-0.17119522540818857,-0.0,100,1.0
2012-01-01 14:30:00,0.19756461397236486,-0.19756461397236486,-0.0,100,1.0
2012-01-01 14:45:00,0.17954449099044223,-0.17954449099044223,-0.0,100,1.0
2012-01-01 15:00:00,0.14307112993649712,-0.14307112993649712,-0.0,100,1.0
2012-01-01 15:15:00,-0.08692,0.1445280094731924,-0.05760800947319239,100,1.0
2012-01-01 15:30:00,-0.017937389742653423,0.017937389742653423,-0.0,100,1.0
2012-01-01 15:45:00,0.015424362901447108,-0.015424362901447108,-0.0,100,1.0
2012-01-01 16:00:00,0.2956790665299988,-0.2956790665299988,-0.0,100,1.0
2012-01-01 16:15:00,0.3362979933923272,-0.3362979933923272,-0.0,100,1.0
2012-01-01 16:30:00,0.1355617617329976,-0.1355617617329976,-0.0,100,0.0
2012-01-01 16:45:00,-0.03625982570799119,0.03625982570799119,-0.0,100,0.0
2012-01-01 17:00:00,0.26441659821789576,-0.26441659821789576,-0.0,100,0.0
2012-01-01 17:15:00,0.1863783876792381,-0.1863783876792381,-0.0,100,0.0
2012-01-01 17:30:00,0.10860394303647763,-0.10860394303647763,-0.0,100,0.0
2012-01-01 17:45:00,-0.107944,0.316080176,-0.208136176,100,0.0
2012-01-01 18:00:00,0.19299650544124147,-0.19299650544124147,-0.0,100,0.0
2012-01-01 18:15:00,0.009045845603614322,-0.009045845603614322,-0.0,100,0.0
2012-01-01 18:30:00,0.11999488831909333,-0.11999488831909333,-0.0,100,0.0
2012-01-01 18:45:00,-0.11133600000000002,0.4221129560733379,-0.3107769560733379,100,0.0
2012-01-01 19:00:00,-0.10886400000000002,0.7232062018021179,-0.6143422018021178,100,0.0
2012-01-01 19:15:00,-0.10644800000000001,0.7561963780760039,-0.6497483780760039,100,0.0
2012-01-01 19:30:00,-0.10408000000000002,0.45641366280953277,-0.35233366280953277,100,0.0
2012-01-01 19:45:00,-0.101768,0.2730274103955833,-0.17125941039558332,100,0.0
2012-01-01 20:00:00,-0.099504,0.30928395196550595,-0.20977995196550597,100,0.0
2012-01-01 20:15:00,-0.0026501433249555006,0.0026501433249555006,-0.0,100,0.0
2012-01-01 20:30:00,-0.09724000000000001,0.2584808210781652,-0.16124082107816523,100,0.0
2012-01-01 20:45:00,-0.010183659454399585,0.010183659454399585,-0.0,100,0.0
2012-01-01 21:00:00,0.3242409143028442,-0.3242409143028442,-0.0,100,0.0
2012-01-01 21:15:00,0.4215811534888411,-0.4215811534888411,-0.0,100,0.0
2012-01-01 21:30:00,0.2513554729371421,-0.2513554729371421,-0.0,100,0.0
2012-01-01 21:45:00,0.0597926939704061,-0.0597926939704061,-0.0,100,0.0
2012-01-01 22:00:00,0.060124391917446784,-0.060124391917446784,-0.0,100,0.0
2012-01-01 22:15:00,-0.052438973566597435,0.052438973566597435,-0.0,100,0.0
2012-01-01 22:30:00,0.21198719713775102,-0.21198719713775102,-0.0,100,0.0
2012-01-01 22:45:00,0.4376297550952364,-0.4376297550952364,-0.0,100,0.0
2012-01-01 23:00:00,0.3902977228476178,-0.3902977228476178,-0.0,100,0.0
2012-01-01 23:15:00,0.34366274259692003,-0.34366274259692003,-0.0,100,0.0
2012-01-01 23:30:00,-0.138712,0.1423309064722466,-0.003618906472246608,100,0.0
