date,Controller1.flow2b,Controller1.res_load,Controller1.dump,Battery1.p_out,Battery1.soc,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem
2012-06-01,0,7.500602411119833,-7.500602411119833,0,10,0.0,0.2955745888801668,7.796177
2012-06-01 00:15:00,0,7.315785695296864,-7.315785695296864,0,10,0.0,0.24877114470313655,7.56455684
2012-06-01 00:30:00,0,7.5694892021454265,-7.5694892021454265,0,10,0.0,0.26719141785457473,7.836680620000001
2012-06-01 00:45:00,0,7.510323947381845,-7.510323947381845,0,10,0.0,0.2637768726181544,7.774100819999999
2012-06-01 01:00:00,0,7.790101276461955,-7.790101276461955,0,10,0.0,0.26208056353804476,8.05218184
2012-06-01 01:15:00,0,6.3684117972251055,-6.3684117972251055,0,10,0.0,0.18893946277489324,6.557351259999999
2012-06-01 01:30:00,0,5.954695526768261,-5.954695526768261,0,10,0.0,0.17957231323173947,6.134267840000001
2012-06-01 01:45:00,0,5.930909716947305,-5.930909716947305,0,10,0.0,0.1869054430526946,6.117815159999999
2012-06-01 02:00:00,0,3.9776267648939503,-3.9776267648939503,0,10,0.0,0.1782599751060493,4.15588674
2012-06-01 02:15:00,0,2.5895931771896974,-2.5895931771896974,0,10,0.0,0.20430830281030285,2.79390148
2012-06-01 02:30:00,0,3.1667317116930063,-3.1667317116930063,0,10,0.0,0.22888986830699384,3.3956215800000003
2012-06-01 02:45:00,0,3.295891597993374,-3.295891597993374,0,10,0.0,0.17891534200662554,3.4748069399999997
2012-06-01 03:00:00,0,2.7670771275329216,-2.7670771275329216,0,10,0.0,0.1815528724670779,2.9486299999999996
2012-06-01 03:15:00,0,1.0847398171896974,-1.0847398171896974,0,10,0.0,0.20430830281030285,1.2890481200000001
2012-06-01 03:30:00,0,1.4937175486371275,-1.4937175486371275,0,10,0.0,0.20646647136287255,1.70018402
2012-06-01 03:45:00,0,0.9757269433305779,-0.9757269433305779,0,10,0.0,0.1923621966694221,1.16808914
2012-06-01 04:00:00,0,1.078463625000479,-1.078463625000479,0,10,0.0,0.12611937499952078,1.204583
2012-06-01 04:15:00,0,1.8862794905803861,-1.8862794905803861,0,10,0.0,0.08212506941961387,1.96840456
2012-06-01 04:30:00,0,1.6585207441513026,-1.6585207441513026,0,10,0.0,0.07383113584869763,1.7323518800000002
2012-06-01 04:45:00,0,1.5824021780307371,-1.5824021780307371,0,10,0.0,0.06747612196926293,1.6498783000000001
2012-06-01 05:00:00,0,2.002144822052065,-2.002144822052065,0,10,0.0,0.0813466379479355,2.0834914600000003
2012-06-01 05:15:00,0,2.3637394019190654,-2.3637394019190654,0,10,0.018,0.09526387808093471,2.47700328
2012-06-01 05:30:00,0,3.370199556091987,-3.370199556091987,0,10,0.031,0.10008462390801255,3.50128418
2012-06-01 05:45:00,0,1.869255584222659,-1.869255584222659,0,10,0.166,0.11068429577734117,2.1459398800000002
2012-06-01 06:00:00,0,2.322188272014586,-2.322188272014586,0,10,0.058,0.1362540679854143,2.51644234
2012-06-01 06:15:00,0,2.9312876720240535,-2.9312876720240535,0,10,0.033,0.14634300797594665,3.11063068
2012-06-01 06:30:00,0,3.391565513566597,-3.391565513566597,0,10,0.265,0.17695404643340257,3.83351956
2012-06-01 06:45:00,0,4.9912752061371695,-4.9912752061371695,0,10,0.078,0.13032301386283024,5.19959822
2012-06-01 07:00:00,0,4.304129494141352,-4.304129494141352,0,10,0.117,0.08488866585864724,4.50601816
2012-06-01 07:15:00,0,4.29426292893403,-4.29426292893403,0,10,0.274,0.05408847106596918,4.622351399999999
2012-06-01 07:30:00,0,2.543597481732781,-2.543597481732781,0,10,0.088,0.05557979826721888,2.68717728
2012-06-01 07:45:00,0,3.309126004300618,-3.309126004300618,0,10,0.243,0.04037157569938205,3.59249758
2012-06-01 08:00:00,0,4.100169078399187,-4.100169078399187,0,10,0.11,0.03437270160081342,4.2445417800000005
2012-06-01 08:15:00,0,4.343510567957982,-4.343510567957982,0,10,0.052,0.051471752042018266,4.44698232
2012-06-01 08:30:00,0,4.680869664416486,-4.680869664416486,0,10,0.397,0.044648755583513146,5.12251842
2012-06-01 08:45:00,0,4.214175183175477,-4.214175183175477,0,10,0.097,0.04159983682452305,4.35277502
2012-06-01 09:00:00,0,3.5016263175886366,-3.5016263175886366,0,10,0.136,0.052914802411362975,3.69054112
2012-06-01 09:15:00,0,3.6948884546230096,-3.6948884546230096,0,10,0.445,0.07752818537698983,4.21741664
2012-06-01 09:30:00,0,4.379134840540349,-4.379134840540349,0,10,0.072,0.06510677945965085,4.51624162
2012-06-01 09:45:00,0,3.0909982914521983,-3.0909982914521983,0,10,0.135,0.05740526854780186,3.28340356
2012-06-01 10:00:00,0,1.0957740032848269,-1.0957740032848269,0,10,0.453,0.1346190367151729,1.68339304
2012-06-01 10:15:00,0,4.536757874292933,-4.536757874292933,0,10,0.163,0.1005307657070669,4.80028864
2012-06-01 10:30:00,0,13.466881699525,-13.466881699525,0,10,0.108,0.13956374047499956,13.71444544
2012-06-01 10:45:00,0,13.396453466525164,-13.396453466525164,0,10,0.572,0.14405941347483756,14.11251288
2012-06-01 11:00:00,0,11.826604991532855,-11.826604991532855,0,10,0.132,0.23199692846714356,12.190601919999999
2012-06-01 11:15:00,0,11.456865631859266,-11.456865631859266,0,10,0.13,0.1972231081407353,11.784088740000001
2012-06-01 11:30:00,0,12.57476062089849,-12.57476062089849,0,10,0.161,0.2414865591015093,12.977247179999999
2012-06-01 11:45:00,0,13.383587888309151,-13.383587888309151,0,10,0.195,0.3239463916908496,13.902534280000001
2012-06-01 12:00:00,0,13.406116180626087,-13.406116180626087,0,10,0.244,0.24228883937391202,13.89240502
2012-06-01 12:15:00,0,5.1555367226354605,-5.1555367226354605,0,10,0.21,0.21823377736453917,5.5837705
2012-06-01 12:30:00,0,3.2794729806841336,-3.2794729806841336,0,10,0.191,0.1958260193158667,3.666299
2012-06-01 12:45:00,0,2.96732419374655,-2.96732419374655,0,10,0.264,0.1930516662534499,3.42437586
2012-06-01 13:00:00,0,3.0447985086371276,-3.0447985086371276,0,10,0.274,0.20646647136287255,3.52526498
2012-06-01 13:15:00,0,3.190860053566597,-3.190860053566597,0,10,0.145,0.17695404643340257,3.5128141
2012-06-01 13:30:00,0,3.214234640684133,-3.214234640684133,0,10,0.325,0.1958260193158667,3.73506066
2012-06-01 13:45:00,0,10.485014983635894,-10.485014983635894,0,10,0.237,0.2108282963641068,10.93284328
2012-06-01 14:00:00,0,16.84767163850479,-16.84767163850479,0,10,0.232,0.1557187014952146,17.235390340000002
2012-06-01 14:15:00,0,17.5542450870689,-17.5542450870689,0,10,0.26,0.32200077293109625,18.13624586
2012-06-01 14:30:00,0,12.177284504372555,-12.177284504372555,0,10,0.247,0.3152524756274465,12.73953698
2012-06-01 14:45:00,0,3.654829415296863,-3.654829415296863,0,10,0.273,0.24877114470313655,4.17660056
2012-06-01 15:00:00,0,5.476040237199415,-5.476040237199415,0,10,0.138,0.2767330828005852,5.89077332
2012-06-01 15:15:00,0,5.7074767081765385,-5.7074767081765385,0,10,0.173,0.24068605182346142,6.12116276
2012-06-01 15:30:00,0,7.130665451693006,-7.130665451693006,0,10,0.196,0.22888986830699384,7.55555532
2012-06-01 15:45:00,0,7.178795268794884,-7.178795268794884,0,10,0.198,0.2359201312051157,7.6127154
2012-06-01 16:00:00,0,8.953298444812313,-8.953298444812313,0,10,0.08,0.1521572951876864,9.18545574
2012-06-01 16:15:00,0,5.610450100066693,-5.610450100066693,0,10,0.212,0.22275921993330702,6.04520932
2012-06-01 16:30:00,0,5.71322819862731,-5.71322819862731,0,10,0.145,0.19030364137269032,6.04853184
2012-06-01 16:45:00,0,5.486034676780488,-5.486034676780488,0,10,0.101,0.12456662321951205,5.7116013
2012-06-01 17:00:00,0,5.258653436091988,-5.258653436091988,0,10,0.079,0.10008462390801255,5.43773806
2012-06-01 17:15:00,0,6.037270530548127,-6.037270530548127,0,10,0.093,0.10598828945187323,6.23625882
2012-06-01 17:30:00,0,7.282782548176539,-7.282782548176539,0,10,0.138,0.24068605182346142,7.6614686
2012-06-01 17:45:00,0,6.333437908176538,-6.333437908176538,0,10,0.333,0.24068605182346142,6.90712396
2012-06-01 18:00:00,0,14.857799251942414,-14.857799251942414,0,10,0.105,0.34282208805758635,15.30562134
2012-06-01 18:15:00,0,12.332519209323058,-12.332519209323058,0,10,0.104,0.21673903067694275,12.65325824
2012-06-01 18:30:00,0,6.397329104912639,-6.397329104912639,0,10,0.159,0.13353631508736094,6.689865419999999
2012-06-01 18:45:00,0,5.17587337863764,-5.17587337863764,0,10,0.08,0.1581235813623607,5.41399696
2012-06-01 19:00:00,0,5.163033892014586,-5.163033892014586,0,10,0.106,0.1362540679854143,5.405287960000001
2012-06-01 19:15:00,0,10.03929767084531,-10.03929767084531,0,10,0.135,0.4060813691546903,10.58037904
2012-06-01 19:30:00,0,19.17946152808912,-19.17946152808912,0,10,0.046,0.15393113191087968,19.37939266
2012-06-01 19:45:00,0,19.956500148614733,-19.956500148614733,0,10,0.026,0.017936531385266633,20.00043668
2012-06-01 20:00:00,0,19.014506760808576,-19.014506760808576,0,10,0.022,0.06477289919142767,19.101279660000003
2012-06-01 20:15:00,0,17.278415468672076,-17.278415468672076,0,10,0.011,0.05320661132792284,17.342622079999998
2012-06-01 20:30:00,0,18.56004369976089,-18.56004369976089,0,10,0.004,0.06781922023910926,18.63186292
2012-06-01 20:45:00,0,17.345632562140175,-17.345632562140175,0,10,0.001,0.04866483785982543,17.3952974
2012-06-01 21:00:00,0,18.252713286574725,-18.252713286574725,0,10,0.0,0.0605357934252749,18.31324908
2012-06-01 21:15:00,0,17.097588807249668,-17.097588807249668,0,10,0.0,0.0634487927503319,17.1610376
2012-06-01 21:30:00,0,11.068192725997351,-11.068192725997351,0,10,0.0,0.06645377400264914,11.1346465
2012-06-01 21:45:00,0,15.860720948961125,-15.860720948961125,0,10,0.0,0.10460585103887507,15.9653268
2012-06-01 22:00:00,0,16.05445168411846,-16.05445168411846,0,10,0.0,0.08173523588153826,16.13618692
2012-06-01 22:15:00,0,16.522096425472693,-16.522096425472693,0,10,0.0,0.08609179452730621,16.60818822
2012-06-01 22:30:00,0,13.939622701304184,-13.939622701304184,0,10,0.0,0.08812217869581503,14.02774488
2012-06-01 22:45:00,0,7.10140613156133,-7.10140613156133,0,10,0.0,0.07095958843867008,7.17236572
2012-06-01 23:00:00,0,6.8418427063424705,-6.8418427063424705,0,10,0.0,0.08095927365752871,6.922801979999999
2012-06-01 23:15:00,0,3.367778634141353,-3.367778634141353,0,10,0.0,0.08488866585864724,3.4526673000000003
2012-06-01 23:30:00,0,3.620959667532922,-3.620959667532922,0,10,0.0,0.1815528724670779,3.80251254
